epoch: 080 | Cost: 260.623 | Train/Valid Acc: 0.9828/0.9800
epoch: 081 | Cost: 248.617 | Train/Valid Acc: 0.9815/0.9786
epoch: 082 | Cost: 237.237 | Train/Valid Acc: 0.9834/0.9806
epoch: 083 | Cost: 226.486 | Train/Valid Acc: 0.9842/0.9822
epoch: 084 | Cost: 216.323 | Train/Valid Acc: 0.9838/0.9812
epoch: 085 | Cost: 206.704 | Train/Valid Acc: 0.9840/0.9816
epoch: 086 | Cost: 197.601 | Train/Valid Acc: 0.9838/0.9802
epoch: 087 | Cost: 189.000 | Train/Valid Acc: 0.9826/0.9804
epoch: 088 | Cost: 180.857 | Train/Valid Acc: 0.9835/0.9812
epoch: 089 | Cost: 173.153 | Train/Valid Acc: 0.9841/0.9820
epoch: 090 | Cost: 165.875 | Train/Valid Acc: 0.9842/0.9828
epoch: 091 | Cost: 158.997 | Train/Valid Acc: 0.9841/0.9830
epoch: 092 | Cost: 152.475 | Train/Valid Acc: 0.9841/0.9814
epoch: 093 | Cost: 146.314 | Train/Valid Acc: 0.9849/0.9822
epoch: 094 | Cost: 140.496 | Train/Valid Acc: 0.9842/0.9828
epoch: 095 | Cost: 134.980 | Train/Valid Acc: 0.9839/0.9820
epoch: 096 | Cost: 129.766 | Train/Valid Acc: 0.9839/0.9804
epoch: 097 | Cost: 124.832 | Train/Valid Acc: 0.9837/0.9838
epoch: 098 | Cost: 120.162 | Train/Valid Acc: 0.9845/0.9836
epoch: 099 | Cost: 115.748 | Train/Valid Acc: 0.9835/0.9822
epoch: 100 | Cost: 111.567 | Train/Valid Acc: 0.9837/0.9820
epoch: 101 | Cost: 107.616 | Train/Valid Acc: 0.9833/0.9834
epoch: 102 | Cost: 103.883 | Train/Valid Acc: 0.9841/0.9818
epoch: 103 | Cost: 100.337 | Train/Valid Acc: 0.9845/0.9820
epoch: 104 | Cost: 96.991 | Train/Valid Acc: 0.9838/0.9824
epoch: 105 | Cost: 93.820 | Train/Valid Acc: 0.9845/0.9820
epoch: 106 | Cost: 90.822 | Train/Valid Acc: 0.9844/0.9822
epoch: 107 | Cost: 87.984 | Train/Valid Acc: 0.9835/0.9808
epoch: 108 | Cost: 85.301 | Train/Valid Acc: 0.9844/0.9830
epoch: 109 | Cost: 82.761 | Train/Valid Acc: 0.9835/0.9828
epoch: 110 | Cost: 80.354 | Train/Valid Acc: 0.9840/0.9820
epoch: 111 | Cost: 78.091 | Train/Valid Acc: 0.9842/0.9830
epoch: 112 | Cost: 75.936 | Train/Valid Acc: 0.9848/0.9832
epoch: 113 | Cost: 73.904 | Train/Valid Acc: 0.9845/0.9822
epoch: 114 | Cost: 71.987 | Train/Valid Acc: 0.9840/0.9826
epoch: 115 | Cost: 70.160 | Train/Valid Acc: 0.9847/0.9816
epoch: 116 | Cost: 68.439 | Train/Valid Acc: 0.9837/0.9814
epoch: 117 | Cost: 66.807 | Train/Valid Acc: 0.9843/0.9834
epoch: 118 | Cost: 65.268 | Train/Valid Acc: 0.9833/0.9818
epoch: 119 | Cost: 63.801 | Train/Valid Acc: 0.9848/0.9832
epoch: 120 | Cost: 62.419 | Train/Valid Acc: 0.9844/0.9830
epoch: 121 | Cost: 61.111 | Train/Valid Acc: 0.9848/0.9838
epoch: 122 | Cost: 59.869 | Train/Valid Acc: 0.9851/0.9834
epoch: 123 | Cost: 58.707 | Train/Valid Acc: 0.9835/0.9816
epoch: 124 | Cost: 57.595 | Train/Valid Acc: 0.9842/0.9806
epoch: 125 | Cost: 56.547 | Train/Valid Acc: 0.9837/0.9830
epoch: 126 | Cost: 55.540 | Train/Valid Acc: 0.9848/0.9824
epoch: 127 | Cost: 54.592 | Train/Valid Acc: 0.9847/0.9826
epoch: 128 | Cost: 53.704 | Train/Valid Acc: 0.9849/0.9836
